comment_id,season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,batsman2_id,batsman2_name,batsman2_runs,batsman2_balls,bowler2_id,bowler2_name,bowler2_overs,bowler2_maidens,bowler2_runs,bowler2_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,text,preText,postText
11050,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,2,5,0,"Unadkat to Agarwal, no run",False,False,False,398438,Mayank Agarwal,9,7,390484,Jaydev Unadkat,0.5,0,7,0,28235,Shikhar Dhawan,7,4,732291.0,Basil Thampi,1.0,0.0,9.0,0.0,,,,,,,False,"slower offcutter, starts outside leg, ends up at off. Agarwal opens the face, but can't find the gap on the off side",,
11060,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,2,6,0,"Unadkat to Agarwal, no run",False,False,False,398438,Mayank Agarwal,9,8,390484,Jaydev Unadkat,1.0,0,7,0,28235,Shikhar Dhawan,7,4,732291.0,Basil Thampi,1.0,0.0,9.0,0.0,,,,,,,False,"gets a slight bit of width, Agarwal looks to open the face and thread the gap between short third man and backward point. Fails to do so. A good comeback from Unadkat after a six first ball. Just seven off",,
12010,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,3,1,4,"Bumrah to Dhawan, 4 leg byes",False,False,False,28235,Shikhar Dhawan,7,5,625383,Jasprit Bumrah,0.1,0,0,0,398438,Mayank Agarwal,9,8,390484.0,Jaydev Unadkat,1.0,0.0,7.0,0.0,,,,,,,False,ordinary start. Well outside leg with fine leg up. Dhawan manages to glance it fine of the man for four. A rare gift from Bumrah. But it has been called leg-byes,<p>Bumrah into the attack now</p>,
12040,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,3,2,1,"Bumrah to Dhawan, 1 run",False,False,False,28235,Shikhar Dhawan,8,6,625383,Jasprit Bumrah,0.2,0,3,0,398438,Mayank Agarwal,9,8,390484.0,Jaydev Unadkat,1.0,0.0,7.0,0.0,,,,,,,False,"yorker, middle and leg, dug out to square leg for one",,
12030,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,3,2,1,"Bumrah to Dhawan, 1 wide",False,True,False,28235,Shikhar Dhawan,7,5,625383,Jasprit Bumrah,0.1,0,2,0,398438,Mayank Agarwal,9,8,390484.0,Jaydev Unadkat,1.0,0.0,7.0,0.0,,,,,,,False,"again down the leg side, big wide again. Dhawan wants a tickle on it, but fails to get a touch on it. Kishan dives again to save four extras",,
12020,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,3,2,1,"Bumrah to Dhawan, 1 wide",False,True,False,28235,Shikhar Dhawan,7,5,625383,Jasprit Bumrah,0.1,0,1,0,398438,Mayank Agarwal,9,8,390484.0,Jaydev Unadkat,1.0,0.0,7.0,0.0,,,,,,,False,"<strong>excellent take from Kishan</strong>. Dhawan is down the wicket, Bumrah digs it in, but the line is outside leg again, and Kishan has to dive to his right full length to save four extras",,
12050,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,3,3,1,"Bumrah to Agarwal, 1 run",False,False,False,398438,Mayank Agarwal,10,9,625383,Jasprit Bumrah,0.3,0,4,0,28235,Shikhar Dhawan,8,6,390484.0,Jaydev Unadkat,1.0,0.0,7.0,0.0,,,,,,,False,better line against the right-hand better. Agarwal opens the face for a single to third man,,
12060,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,3,4,0,"Bumrah to Dhawan, no run",False,False,False,28235,Shikhar Dhawan,8,7,625383,Jasprit Bumrah,0.4,0,4,0,398438,Mayank Agarwal,10,9,390484.0,Jaydev Unadkat,1.0,0.0,7.0,0.0,,,,,,,False,"dug in short, just outside off, Dhawan looks to ramp it over Kishan, but makes no connection",,
12070,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,3,5,1,"Bumrah to Dhawan, 1 run",False,False,False,28235,Shikhar Dhawan,9,8,625383,Jasprit Bumrah,0.5,0,5,0,398438,Mayank Agarwal,10,9,390484.0,Jaydev Unadkat,1.0,0.0,7.0,0.0,,,,,,,False,"down the wicket, takes this on the full, clips it to deep square leg for one",,"<p>Raghu IFMR: ""That boundary of first ball of Bumrah was clearly off the batbat but given as leg byes.. Those really hurt the margins.. I am ofcourse talking about my Fantasy league.. Come on Umpp...""</p>"
12080,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,3,6,4,"Bumrah to Agarwal, FOUR",True,False,False,398438,Mayank Agarwal,14,10,625383,Jasprit Bumrah,1.0,0,9,0,28235,Shikhar Dhawan,9,8,390484.0,Jaydev Unadkat,1.0,0.0,7.0,0.0,,,,,,,False,"driven on the up, and in the air. This is not a half-volley by any means. Agarwal just goes hard at this wide length ball, and manages to clear cover-point. Replays show it is catchable but M Ashwin is late in the attempt to get his hands up","<p>Shyam: ""MI are clearly lacking a good powerplay bowler. Someone who can take wickets. That is affecting Boom's role and performance and overall bowling...they are unable to choke opponents like they are used to...""</p>",
13010,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,4,1,1,"Unadkat to Dhawan, 1 run",False,False,False,28235,Shikhar Dhawan,10,9,390484,Jaydev Unadkat,1.1,0,8,0,398438,Mayank Agarwal,14,10,625383.0,Jasprit Bumrah,1.0,0.0,9.0,0.0,,,,,,,False,"on a length, at the stumps, dropped into the leg side for one",<p>Unadkat continues</p>,
13020,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,4,2,0,"Unadkat to Agarwal, no run",False,False,False,398438,Mayank Agarwal,14,11,390484,Jaydev Unadkat,1.2,0,8,0,28235,Shikhar Dhawan,10,9,625383.0,Jasprit Bumrah,1.0,0.0,9.0,0.0,,,,,,,False,Agarwal looks to give him the charge and make room but has been done in by a slower one from Unadkat,,
13030,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,4,3,2,"Unadkat to Agarwal, 2 runs",False,False,False,398438,Mayank Agarwal,16,12,390484,Jaydev Unadkat,1.3,0,10,0,28235,Shikhar Dhawan,10,9,625383.0,Jasprit Bumrah,1.0,0.0,9.0,0.0,,,,,,,False,"again a slower one but this is outside leg, and Agarwal clips it past short fine leg for two",,
13040,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,4,4,1,"Unadkat to Agarwal, 1 run",False,False,False,398438,Mayank Agarwal,17,13,390484,Jaydev Unadkat,1.4,0,11,0,28235,Shikhar Dhawan,10,9,625383.0,Jasprit Bumrah,1.0,0.0,9.0,0.0,,,,,,,False,"big back lift, looking for a big drive, but he is cramped up again. Pushes this towards mid-off for a quick single",,
13050,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,4,5,0,"Unadkat to Dhawan, no run",False,False,False,28235,Shikhar Dhawan,10,10,390484,Jaydev Unadkat,1.5,0,11,0,398438,Mayank Agarwal,17,13,625383.0,Jasprit Bumrah,1.0,0.0,9.0,0.0,,,,,,,False,"on a length, angling across hi, Dhawan stays back to run it down but can;'t beat short third man",<p>Goes round the wicket to the left-hand batter. That is interesting</p>,
13060,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,4,6,2,"Unadkat to Dhawan, 2 runs",False,False,False,28235,Shikhar Dhawan,12,11,390484,Jaydev Unadkat,2.0,0,13,0,398438,Mayank Agarwal,17,13,625383.0,Jasprit Bumrah,1.0,0.0,9.0,0.0,,,,,,,False,"down the wicket, Unadkat counters it with a slower short ball, Dhawan adjusts and manages to upper-cut it over cover. Not enough pace on the ball to take it to the fence, though",,
14010,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,5,1,1,"Ashwin to Agarwal, 1 run",False,False,False,398438,Mayank Agarwal,18,14,528067,Murugan Ashwin,0.1,0,1,0,28235,Shikhar Dhawan,12,11,390484.0,Jaydev Unadkat,2.0,0.0,13.0,0.0,,,,,,,False,"on a length, middle and leg, no turn, Agarwal clears the front leg to push this wide of mid-off for one",<p>M Ashwin inside the powerplay</p>,
14020,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,5,2,1,"Ashwin to Dhawan, 1 run",False,False,False,28235,Shikhar Dhawan,13,12,528067,Murugan Ashwin,0.2,0,2,0,398438,Mayank Agarwal,18,14,390484.0,Jaydev Unadkat,2.0,0.0,13.0,0.0,,,,,,,False,"down the wicket, gets too close to the pitch of the ball, pushes it along the ground to long-on for one",,
14030,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,5,3,4,"Ashwin to Agarwal, FOUR",True,False,False,398438,Mayank Agarwal,22,15,528067,Murugan Ashwin,0.3,0,6,0,28235,Shikhar Dhawan,13,12,390484.0,Jaydev Unadkat,2.0,0.0,13.0,0.0,,,,,,,False,a matter of time if you bowl spin to Agarwal inside the powerplay. Stays leg side of this by clearing the froint leg and square-drives it between point and cover-point,,
14040,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,5,4,4,"Ashwin to Agarwal, FOUR",True,False,False,398438,Mayank Agarwal,26,16,528067,Murugan Ashwin,0.4,0,10,0,28235,Shikhar Dhawan,13,12,390484.0,Jaydev Unadkat,2.0,0.0,13.0,0.0,,,,,,,False,more emphatic this time by skipping down the track and lofting him over mid-on,,
14050,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,5,5,6,"Ashwin to Agarwal, SIX",True,False,False,398438,Mayank Agarwal,32,17,528067,Murugan Ashwin,0.5,0,16,0,28235,Shikhar Dhawan,13,12,390484.0,Jaydev Unadkat,2.0,0.0,13.0,0.0,,,,,,,False,"mid-off is back but it doesn't matter to Agarwal. Lovely shot. This is just an off-drive in the air. Clears the front leg again, and then reaches out because he is not very close to the pitch of the ball. Still manages to clear long-off. Lovely, clean swing of the bat",,
14060,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,5,6,1,"Ashwin to Agarwal, 1 run",False,False,False,398438,Mayank Agarwal,33,18,528067,Murugan Ashwin,1.0,0,17,0,28235,Shikhar Dhawan,13,12,390484.0,Jaydev Unadkat,2.0,0.0,13.0,0.0,,,,,,,False,"looks for another big into the off side, but Ashwin bowls it full enough to not let him get under it. Just the single into the covers",,
15010,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,6,1,1,"Mills to Agarwal, 1 run",False,False,False,398438,Mayank Agarwal,34,19,459257,Tymal Mills,0.1,0,1,0,28235,Shikhar Dhawan,13,12,528067.0,Murugan Ashwin,1.0,0.0,17.0,0.0,,,,,,,False,"short ball, on the leg stump, pulled to long leg for one",<p>Tymal Mills to see if he can stop the bleeding</p>,
15020,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,6,2,4,"Mills to Dhawan, FOUR",True,False,False,28235,Shikhar Dhawan,17,13,459257,Tymal Mills,0.2,0,5,0,398438,Mayank Agarwal,34,19,528067.0,Murugan Ashwin,1.0,0.0,17.0,0.0,,,,,,,False,"slower short ball, but enough time for Dhawan to adjust to it and then upper-cut it over cover. Makes it look easy",,
15040,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,6,3,0,"Mills to Dhawan, no run",False,False,False,28235,Shikhar Dhawan,17,14,459257,Tymal Mills,0.3,0,6,0,398438,Mayank Agarwal,34,19,528067.0,Murugan Ashwin,1.0,0.0,17.0,0.0,,,,,,,False,"on-pace this time, and Dhawan looks to use the pace by opening the face on it. A touch late on the shot, and is beaten",,
15030,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,6,3,1,"Mills to Dhawan, 1 wide",False,True,False,28235,Shikhar Dhawan,17,13,459257,Tymal Mills,0.2,0,6,0,398438,Mayank Agarwal,34,19,528067.0,Murugan Ashwin,1.0,0.0,17.0,0.0,,,,,,,False,"short again, but a wide down the leg side",,
15050,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,6,4,1,"Mills to Dhawan, 1 run",False,False,False,28235,Shikhar Dhawan,18,15,459257,Tymal Mills,0.4,0,7,0,398438,Mayank Agarwal,34,19,528067.0,Murugan Ashwin,1.0,0.0,17.0,0.0,,,,,,,False,"on a length, into the pads, worked to deep midwicket for one",,
15070,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,6,5,4,"Mills to Agarwal, FOUR",True,False,False,398438,Mayank Agarwal,38,20,459257,Tymal Mills,0.5,0,12,0,28235,Shikhar Dhawan,18,15,528067.0,Murugan Ashwin,1.0,0.0,17.0,0.0,,,,,,,False,"short of a length, wide, Agarwal opens the face on it, beats short third man to his right, and also deep point to his left",,
15060,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,6,5,1,"Mills to Agarwal, 1 wide",False,True,False,398438,Mayank Agarwal,34,19,459257,Tymal Mills,0.4,0,8,0,28235,Shikhar Dhawan,18,15,528067.0,Murugan Ashwin,1.0,0.0,17.0,0.0,,,,,,,False,"short of a length, well down the leg side, Agarwal fails to get a touch on it",,
15080,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,6,6,0,"Mills to Agarwal, no run",False,False,False,398438,Mayank Agarwal,38,21,459257,Tymal Mills,1.0,0,12,0,28235,Shikhar Dhawan,18,15,528067.0,Murugan Ashwin,1.0,0.0,17.0,0.0,,,,,,,False,"yorker, squeezes it under his bat",<p>Round the wicket</p>,"<p>Superb powerplay for PBKS. In fact, S Rajesh tells me this is the highest powerplay in Pune this year. Don't take his word or mine, <a href=""https://www.espncricinfo.com/ask/cricket-qna/highest-powerplay-total-by-a-team-in-Pune-in-IPL-2022&tournament=ipl"">Ask Cricinfo</a>. MI need the breather they vare getting through the strategic timeout</p>"
16010,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,7,1,1,"Ashwin to Dhawan, 1 run",False,False,False,28235,Shikhar Dhawan,19,16,528067,Murugan Ashwin,1.1,0,18,0,398438,Mayank Agarwal,38,21,459257.0,Tymal Mills,1.0,0.0,12.0,0.0,,,,,,,False,"on a length, middle and leg, worked around the corner for one",<p>Ashwin continues</p>,
16020,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,7,2,1,"Ashwin to Agarwal, 1 leg bye",False,False,False,398438,Mayank Agarwal,38,22,528067,Murugan Ashwin,1.2,0,18,0,28235,Shikhar Dhawan,19,16,459257.0,Tymal Mills,1.0,0.0,12.0,0.0,,,,,,,False,"drifting into the pads, Agarwal is beaten on the sweep. They still get a leg-bye",,
16030,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,7,3,1,"Ashwin to Dhawan, 1 run",False,False,False,28235,Shikhar Dhawan,20,17,528067,Murugan Ashwin,1.3,0,19,0,398438,Mayank Agarwal,38,22,459257.0,Tymal Mills,1.0,0.0,12.0,0.0,,,,,,,False,"full, on the pads, whipped into leg side, but can't get past deep backward square leg",,
16040,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,7,4,1,"Ashwin to Agarwal, 1 run",False,False,False,398438,Mayank Agarwal,39,23,528067,Murugan Ashwin,1.4,0,20,0,28235,Shikhar Dhawan,20,17,459257.0,Tymal Mills,1.0,0.0,12.0,0.0,,,,,,,False,"long hop but comes slowly off the surface, and Agarwal has to adjust to it and has to settle for the single to long-on",,
16050,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,7,5,1,"Ashwin to Dhawan, 1 leg bye",False,False,False,28235,Shikhar Dhawan,20,18,528067,Murugan Ashwin,1.5,0,20,0,398438,Mayank Agarwal,39,23,459257.0,Tymal Mills,1.0,0.0,12.0,0.0,,,,,,,False,"full, outside leg, beaten on the sweep, but they get a leg-bye",,
16060,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,7,6,0,"Ashwin to Agarwal, no run",False,False,False,398438,Mayank Agarwal,39,24,528067,Murugan Ashwin,2.0,0,20,0,28235,Shikhar Dhawan,20,18,459257.0,Tymal Mills,1.0,0.0,12.0,0.0,,,,,,,False,"no room, good length, draws a rare dot from Agarwal",,
17010,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,8,1,4,"Basil Thampi to Dhawan, FOUR",True,False,False,28235,Shikhar Dhawan,24,19,732291,Basil Thampi,1.1,0,13,0,398438,Mayank Agarwal,39,24,528067.0,Murugan Ashwin,2.0,0.0,20.0,0.0,,,,,,,False,"poor start again. Short, wide, and Dhawan upper-cuts him over point. Bisects third man and deep point",<p>Thampi comes back</p>,
17020,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,8,2,1,"Basil Thampi to Dhawan, 1 run",False,False,False,28235,Shikhar Dhawan,25,20,732291,Basil Thampi,1.2,0,14,0,398438,Mayank Agarwal,39,24,528067.0,Murugan Ashwin,2.0,0.0,20.0,0.0,,,,,,,False,"short of a length, no room, Dhawan drops this at his toes, and Agarwal calls him through for a quick single","<p>Deepak Samson : ""Very happy to see Mayank coming good. Quality batsman. ""</p>",
17030,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,8,3,2,"Basil Thampi to Agarwal, 2 runs",False,False,False,398438,Mayank Agarwal,41,25,732291,Basil Thampi,1.3,0,16,0,28235,Shikhar Dhawan,25,20,528067.0,Murugan Ashwin,2.0,0.0,20.0,0.0,,,,,,,False,"short of a length, offcutter, cramping him up, Agarwal still manages to chip it to wide long-on for two",,
17040,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,8,4,2,"Basil Thampi to Agarwal, 2 runs",False,False,False,398438,Mayank Agarwal,43,26,732291,Basil Thampi,1.4,0,18,0,28235,Shikhar Dhawan,25,20,528067.0,Murugan Ashwin,2.0,0.0,20.0,0.0,,,,,,,False,"pull off the front foot, in front of square, and deep square leg has to rush to his left to save two runs",,
17050,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,8,5,1,"Basil Thampi to Agarwal, 1 run",False,False,False,398438,Mayank Agarwal,44,27,732291,Basil Thampi,1.5,0,19,0,28235,Shikhar Dhawan,25,20,528067.0,Murugan Ashwin,2.0,0.0,20.0,0.0,,,,,,,False,"short, wide, cut straight to deep point this time",,
17060,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,8,6,0,"Basil Thampi to Dhawan, no run",False,False,False,28235,Shikhar Dhawan,25,21,732291,Basil Thampi,2.0,0,19,0,398438,Mayank Agarwal,44,27,528067.0,Murugan Ashwin,2.0,0.0,20.0,0.0,,,,,,,False,"uppish extra-cover drive, Rohit puts in a dive at extra cover, but can't get to it on the full","<p>Karthik: ""Punjab on course for their third victory. Title contenders if one more bowler gets into form.""</p>",
18010,2022.0,1304069,MI v PBKS,MI,PBKS,PBKS,1,9,1,0,"Mills to Agarwal, no run",False,False,False,398438,Mayank Agarwal,44,28,459257,Tymal Mills,1.1,0,12,0,28235,Shikhar Dhawan,25,21,732291.0,Basil Thampi,2.0,0.0,19.0,0.0,,,,,,,False,"wide yorker, just inside the blue line. Under the bat it goes",<p>Mills is back. Round the wicket</p>,
