,Name,Over,Maidens,Runs_Conceded,Wickets,Dots
64,Nitish Rana,8.0,0,72,3,15
65,Sandeep Sharma,42.0,0,352,12,82
66,Kartik Tyagi,0.0,0,0,0,0
67,Mahipal Lomror,0.0,0,0,0,0
68,Riyan Parag,14.0,0,121,2,18
69,Rahul Chahar,47.0,0,308,13,125
70,Sandeep Warrier,12.0,0,85,2,30
71,Lalit Yadav,0.0,0,0,0,0
72,Adam Milne,0.0,0,0,0,0
73,Kyle Jamieson,0.0,0,0,0,0
74,Prasidh Krishna,40.2,0,377,4,95
75,Andre Russell,30.1,0,287,11,61
76,Khaleel Ahmed,34.5,0,287,19,87
77,Abdul Samad,0.0,0,0,0,0
78,Tabraiz Shamsi,0.0,0,0,0,0
79,Navdeep Saini,48.0,0,397,11,141
80,Wanindu Hasaranga de Silva,0.0,0,0,0,0
81,Rohit Sharma,0.0,0,0,0,0
82,Marcus Stoinis,16.4,0,145,2,32
83,Ishan Porel,0.0,0,0,0,0
84,Deepak Hooda,2.0,0,21,1,1
85,Adil Rashid,0.0,0,0,0,0
86,Ishant Sharma,46.0,1,349,13,122
87,Riley Meredith,0.0,0,0,0,0
88,Vijay Shankar,8.0,0,70,1,14
89,Dhawal Kulkarni,35.0,1,335,6,77
90,Lungi Ngidi,0.0,0,0,0,0
91,Daniel Sams,0.0,0,0,0,0
92,Pat Cummins,0.0,0,0,0,0
93,Jagadeesha Suchith,4.0,0,28,2,11
94,Amit Mishra,40.0,0,270,11,83
95,Washington Sundar,9.0,0,74,4,21
96,Imran Tahir,64.2,1,431,26,149
97,Kane Richardson,0.0,0,0,0,0
98,Kamlesh Nagarkoti,0.0,0,0,0,0
99,Murugan Ashwin,34.0,0,255,5,59
100,Chris Woakes,0.0,0,0,0,0
101,Lukman Meriwala,0.0,0,0,0,0
102,Jalaj Saxena,0.0,0,0,0,0
103,Jhye Richardson,0.0,0,0,0,0
104,Harbhajan Singh,44.0,1,312,16,117
105,Mujeeb Ur Rahman,19.0,0,191,3,37
106,Shahbaz Nadeem,9.0,0,90,2,10
107,T Natarajan,0.0,0,0,0,0
108,Marco Jansen,0.0,0,0,0,0
109,Ben Stokes,16.5,0,189,6,31
110,James Pattinson,0.0,0,0,0,0
111,Sheldon Cottrell,0.0,0,0,0,0
112,Krishnappa Gowtham,20.0,0,166,1,38
113,Mohit Sharma,3.0,0,27,1,8
114,Mitchell Marsh,0.0,0,0,0,0
115,Dale Steyn,8.0,0,69,4,20
116,Umesh Yadav,37.5,0,371,8,88
117,Jofra Archer,43.0,2,291,11,121
118,Kuldeep Yadav,33.0,0,286,4,54
119,Ankit Rajpoot,16.0,0,152,3,35
120,Isuru Udana,0.0,0,0,0,0
121,Adam Zampa,0.0,0,0,0,0
122,Kane Williamson,0.0,0,0,0,0
123,Karn Sharma,2.5,0,33,1,4
124,Varun Aaron,12.0,1,116,4,28
125,Andrew Tye,22.0,0,233,3,30
126,Tushar Deshpande,0.0,0,0,0,0
127,Chris Green,0.0,0,0,0,0
128,Basil Thampi,12.0,0,110,0,21
129,Monu Kumar,0.0,0,0,0,0
130,Mitchell Santner,14.0,0,94,4,37
131,David Warner,0.0,0,0,0,0
132,Praveen Dubey,0.0,0,0,0,0
133,Chris Gayle,0.0,0,0,0,0
134,Suresh Raina,1.0,0,6,0,1
135,Rasikh Salam,4.0,0,42,0,8
136,Mitchell McClenaghan,18.0,1,142,3,45
137,Hardik Pandya,42.3,0,390,14,94
138,Ben Cutting,2.0,0,27,1,2
139,Keemo Paul,27.1,0,237,9,54
140,Hardus Viljoen,23.0,0,222,7,47
141,Mandeep Singh,2.0,0,26,0,1
142,Colin de Grandhomme,5.0,0,55,0,2
143,Lasith Malinga,44.5,0,438,16,91
144,Sandeep Lamichhane,23.0,0,210,8,47
145,Prayas Ray Barman,4.0,0,56,0,2
146,Hanuma Vihari,1.0,0,9,0,0
147,Stuart Binny,7.0,0,44,1,13
148,Jason Behrendorff,19.0,0,165,5,54
149,Pawan Negi,11.1,0,102,3,25
150,Scott Kuggeleijn,8.0,0,71,2,17
151,Yusuf Pathan,1.0,0,8,0,1
152,Alzarri Joseph,8.4,1,87,6,25
153,Harry Gurney,27.0,0,238,7,51
154,Sudhesan Midhun,2.0,0,27,0,4
155,Carlos Brathwaite,3.0,0,29,0,6
156,Liam Livingstone,1.0,0,13,0,3
157,Sarfaraz Khan,0.2,0,6,0,0
158,Ish Sodhi,7.1,1,67,4,15
159,Sherfane Rutherford,6.5,0,59,1,8
160,Prithvi Raj,5.0,0,57,1,8
161,KC Cariappa,2.0,0,34,0,1
162,Oshane Thomas,10.0,0,79,5,22
163,Anukul Roy,2.0,0,11,1,4
164,Barinder Sran,4.0,0,51,0,7
165,Kulwant Khejroliya,5.0,0,46,1,11
166,Shane Watson,0.0,0,0,0,0
167,Mark Wood,0.0,0,0,0,0
168,Daniel Christian,0.0,0,0,0,0
169,Vinay Kumar,0.0,0,0,0,0
170,Mitchell Johnson,0.0,0,0,0,0
171,Billy Stanlake,0.0,0,0,0,0
172,Ben Laughlin,0.0,0,0,0,0
173,D'Arcy Short,0.0,0,0,0,0
174,Pradeep Sangwan,0.0,0,0,0,0
175,Akila Dananjaya,0.0,0,0,0,0
176,Yuvraj Singh,0.0,0,0,0,0
177,Corey Anderson,0.0,0,0,0,0
178,Liam Plunkett,0.0,0,0,0,0
179,Manoj Tiwary,0.0,0,0,0,0
180,Jean-Paul Duminy,0.0,0,0,0,0
181,David Willey,0.0,0,0,0,0
182,Anureet Singh,0.0,0,0,0,0
183,Ankit Sharma,0.0,0,0,0,0
184,Javon Searles,0.0,0,0,0,0
185,Junior Dala,0.0,0,0,0,0
186,Tymal Mills,0.0,0,0,0,0
187,Aniket Choudhary,0.0,0,0,0,0
188,Sreenath Aravind,0.0,0,0,0,0
189,Travis Head,0.0,0,0,0,0
190,Ashish Nehra,0.0,0,0,0,0
191,Bipul Sharma,0.0,0,0,0,0
192,Ashok Dinda,0.0,0,0,0,0
193,Rajat Bhatia,0.0,0,0,0,0
194,Praveen Kumar,0.0,0,0,0,0
195,Manpreet Gony,0.0,0,0,0,0
196,Shivil Kaushik,0.0,0,0,0,0
197,Dwayne Smith,0.0,0,0,0,0
198,Shadab Jakati,0.0,0,0,0,0
199,Swapnil Singh,0.0,0,0,0,0
200,Zaheer Khan,0.0,0,0,0,0
201,Iqbal Abdulla,0.0,0,0,0,0
202,Tejas Baroka,0.0,0,0,0,0
203,Samuel Badree,0.0,0,0,0,0
204,Munaf Patel,0.0,0,0,0,0
205,Angelo Mathews,0.0,0,0,0,0
206,James Faulkner,0.0,0,0,0,0
207,Shubham Agarwal,0.0,0,0,0,0
208,Nathu Singh,0.0,0,0,0,0
209,Rahul Tripathi,0.0,0,0,0,0
210,Ankit Soni,0.0,0,0,0,0
211,Irfan Pathan,0.0,0,0,0,0
212,Marlon Samuels,0.0,0,0,0,0
213,Matt Henry,0.0,0,0,0,0
