,Name,Over,Maidens,Runs_Conceded,Wickets,Dots
108,Marco Jansen,6.0,0,45,2,14
109,Ben Stokes,1.0,0,12,0,2
110,James Pattinson,0.0,0,0,0,0
111,Sheldon Cottrell,0.0,0,0,0,0
112,Krishnappa Gowtham,0.0,0,0,0,0
113,Mohit Sharma,0.0,0,0,0,0
114,Mitchell Marsh,0.0,0,0,0,0
115,Dale Steyn,0.0,0,0,0,0
116,Umesh Yadav,0.0,0,0,0,0
117,Jofra Archer,0.0,0,0,0,0
118,Kuldeep Yadav,0.0,0,0,0,0
119,Ankit Rajpoot,0.0,0,0,0,0
120,Isuru Udana,0.0,0,0,0,0
121,Adam Zampa,0.0,0,0,0,0
122,Kane Williamson,0.0,0,0,0,0
123,Karn Sharma,0.0,0,0,0,0
124,Varun Aaron,0.0,0,0,0,0
125,Andrew Tye,0.0,0,0,0,0
126,Tushar Deshpande,0.0,0,0,0,0
127,Chris Green,0.0,0,0,0,0
128,Basil Thampi,0.0,0,0,0,0
129,Monu Kumar,0.0,0,0,0,0
130,Mitchell Santner,0.0,0,0,0,0
131,David Warner,0.0,0,0,0,0
132,Praveen Dubey,0.0,0,0,0,0
133,Chris Gayle,0.0,0,0,0,0
134,Suresh Raina,0.0,0,0,0,0
135,Rasikh Salam,0.0,0,0,0,0
136,Mitchell McClenaghan,0.0,0,0,0,0
137,Hardik Pandya,0.0,0,0,0,0
138,Ben Cutting,0.0,0,0,0,0
139,Keemo Paul,0.0,0,0,0,0
140,Hardus Viljoen,0.0,0,0,0,0
141,Mandeep Singh,0.0,0,0,0,0
142,Colin de Grandhomme,0.0,0,0,0,0
143,Lasith Malinga,0.0,0,0,0,0
144,Sandeep Lamichhane,0.0,0,0,0,0
145,Prayas Ray Barman,0.0,0,0,0,0
146,Hanuma Vihari,0.0,0,0,0,0
147,Stuart Binny,0.0,0,0,0,0
148,Jason Behrendorff,0.0,0,0,0,0
149,Pawan Negi,0.0,0,0,0,0
150,Scott Kuggeleijn,0.0,0,0,0,0
151,Yusuf Pathan,0.0,0,0,0,0
152,Alzarri Joseph,0.0,0,0,0,0
153,Harry Gurney,0.0,0,0,0,0
154,Sudhesan Midhun,0.0,0,0,0,0
155,Carlos Brathwaite,0.0,0,0,0,0
156,Liam Livingstone,0.0,0,0,0,0
157,Sarfaraz Khan,0.0,0,0,0,0
158,Ish Sodhi,0.0,0,0,0,0
159,Sherfane Rutherford,0.0,0,0,0,0
160,Prithvi Raj,0.0,0,0,0,0
161,KC Cariappa,0.0,0,0,0,0
162,Oshane Thomas,0.0,0,0,0,0
163,Anukul Roy,0.0,0,0,0,0
164,Barinder Sran,0.0,0,0,0,0
165,Kulwant Khejroliya,0.0,0,0,0,0
166,Shane Watson,0.0,0,0,0,0
167,Mark Wood,0.0,0,0,0,0
168,Daniel Christian,0.0,0,0,0,0
169,Vinay Kumar,0.0,0,0,0,0
170,Mitchell Johnson,0.0,0,0,0,0
171,Billy Stanlake,0.0,0,0,0,0
172,Ben Laughlin,0.0,0,0,0,0
173,D'Arcy Short,0.0,0,0,0,0
174,Pradeep Sangwan,0.0,0,0,0,0
175,Akila Dananjaya,0.0,0,0,0,0
176,Yuvraj Singh,0.0,0,0,0,0
177,Corey Anderson,0.0,0,0,0,0
178,Liam Plunkett,0.0,0,0,0,0
179,Manoj Tiwary,0.0,0,0,0,0
180,Jean-Paul Duminy,0.0,0,0,0,0
181,David Willey,0.0,0,0,0,0
182,Anureet Singh,0.0,0,0,0,0
183,Ankit Sharma,0.0,0,0,0,0
184,Javon Searles,0.0,0,0,0,0
185,Junior Dala,0.0,0,0,0,0
186,Tymal Mills,0.0,0,0,0,0
187,Aniket Choudhary,0.0,0,0,0,0
188,Sreenath Aravind,0.0,0,0,0,0
189,Travis Head,0.0,0,0,0,0
190,Ashish Nehra,0.0,0,0,0,0
191,Bipul Sharma,0.0,0,0,0,0
192,Ashok Dinda,0.0,0,0,0,0
193,Rajat Bhatia,0.0,0,0,0,0
194,Praveen Kumar,0.0,0,0,0,0
195,Manpreet Gony,0.0,0,0,0,0
196,Shivil Kaushik,0.0,0,0,0,0
197,Dwayne Smith,0.0,0,0,0,0
198,Shadab Jakati,0.0,0,0,0,0
199,Swapnil Singh,0.0,0,0,0,0
200,Zaheer Khan,0.0,0,0,0,0
201,Iqbal Abdulla,0.0,0,0,0,0
202,Tejas Baroka,0.0,0,0,0,0
203,Samuel Badree,0.0,0,0,0,0
204,Munaf Patel,0.0,0,0,0,0
205,Angelo Mathews,0.0,0,0,0,0
206,James Faulkner,0.0,0,0,0,0
207,Shubham Agarwal,0.0,0,0,0,0
208,Nathu Singh,0.0,0,0,0,0
209,Rahul Tripathi,0.0,0,0,0,0
210,Ankit Soni,0.0,0,0,0,0
211,Irfan Pathan,0.0,0,0,0,0
212,Marlon Samuels,0.0,0,0,0,0
213,Matt Henry,0.0,0,0,0,0
