,Name,Over,Maidens,Runs_Conceded,Wickets,Dots
54,Shreyas Gopal,50.0,0,427,10,86
55,Kuldip Yadav,0.0,0,0,0,0
56,Tim Southee,0.0,0,0,0,0
57,Aiden Markram,0.0,0,0,0,0
58,Akash Singh,0.0,0,0,0,0
59,Mayank Markande,0.0,0,0,0,0
60,Sam Curran,42.0,0,344,13,91
61,KM Asif,0.0,0,0,0,0
62,Fabian Allen,0.0,0,0,0,0
63,Nathan Ellis,0.0,0,0,0,0
64,Nitish Rana,2.0,0,23,0,0
65,Sandeep Sharma,52.0,0,374,14,119
66,Kartik Tyagi,38.1,0,367,9,83
67,Mahipal Lomror,0.0,0,0,0,0
68,Riyan Parag,2.0,0,27,0,3
69,Rahul Chahar,53.0,0,433,15,104
70,Sandeep Warrier,3.0,0,34,0,8
71,Lalit Yadav,0.0,0,0,0,0
72,Adam Milne,0.0,0,0,0,0
73,Kyle Jamieson,0.0,0,0,0,0
74,Prasidh Krishna,17.3,0,164,4,35
75,Andre Russell,18.0,0,175,6,39
76,Khaleel Ahmed,25.0,0,242,8,62
77,Abdul Samad,7.0,0,96,1,9
78,Tabraiz Shamsi,0.0,0,0,0,0
79,Navdeep Saini,45.4,1,379,6,116
80,Wanindu Hasaranga de Silva,0.0,0,0,0,0
81,Rohit Sharma,0.0,0,0,0,0
82,Marcus Stoinis,29.4,0,283,13,50
83,Ishan Porel,0.0,0,0,0,0
84,Deepak Hooda,1.0,0,9,0,2
85,Adil Rashid,0.0,0,0,0,0
86,Ishant Sharma,3.0,0,26,0,4
87,Riley Meredith,0.0,0,0,0,0
88,Vijay Shankar,12.7,0,82,4,31
89,Dhawal Kulkarni,3.0,0,22,0,6
90,Lungi Ngidi,16.0,0,167,9,35
91,Daniel Sams,12.0,0,114,0,22
92,Pat Cummins,52.0,0,409,12,140
93,Jagadeesha Suchith,0.0,0,0,0,0
94,Amit Mishra,10.0,0,72,3,17
95,Washington Sundar,50.0,1,298,8,114
96,Imran Tahir,11.0,0,76,1,19
97,Kane Richardson,0.0,0,0,0,0
98,Kamlesh Nagarkoti,26.0,0,231,5,46
99,Murugan Ashwin,31.3,0,235,10,70
100,Chris Woakes,0.0,0,0,0,0
101,Lukman Meriwala,0.0,0,0,0,0
102,Jalaj Saxena,0.0,0,0,0,0
103,Jhye Richardson,0.0,0,0,0,0
104,Harbhajan Singh,0.0,0,0,0,0
105,Mujeeb Ur Rahman,8.0,0,83,0,12
106,Shahbaz Nadeem,22.0,0,178,5,31
107,T Natarajan,62.5,1,504,16,136
108,Marco Jansen,0.0,0,0,0,0
109,Ben Stokes,15.0,0,154,2,24
110,James Pattinson,35.3,0,320,11,78
111,Sheldon Cottrell,20.0,1,176,6,59
112,Krishnappa Gowtham,8.0,0,84,1,11
113,Mohit Sharma,4.0,0,45,1,7
114,Mitchell Marsh,0.4,0,6,0,1
115,Dale Steyn,11.4,0,133,1,24
116,Umesh Yadav,7.0,0,83,0,14
117,Jofra Archer,55.4,0,365,20,175
118,Kuldeep Yadav,12.0,0,92,1,19
119,Ankit Rajpoot,17.0,0,199,2,34
120,Isuru Udana,29.0,0,282,8,49
121,Adam Zampa,11.0,0,92,2,20
122,Kane Williamson,2.0,0,24,0,0
123,Karn Sharma,19.0,0,165,5,27
124,Varun Aaron,8.0,0,94,0,21
125,Andrew Tye,4.0,0,50,1,5
126,Tushar Deshpande,17.0,0,192,3,29
127,Chris Green,2.5,0,24,0,6
128,Basil Thampi,4.0,0,46,1,5
129,Monu Kumar,2.0,0,20,0,4
130,Mitchell Santner,7.0,0,53,2,12
131,David Warner,0.1,0,2,0,0
132,Praveen Dubey,8.0,0,72,0,12
133,Chris Gayle,0.5,0,5,0,0
134,Suresh Raina,0.0,0,0,0,0
135,Rasikh Salam,0.0,0,0,0,0
136,Mitchell McClenaghan,0.0,0,0,0,0
137,Hardik Pandya,0.0,0,0,0,0
138,Ben Cutting,0.0,0,0,0,0
139,Keemo Paul,0.0,0,0,0,0
140,Hardus Viljoen,0.0,0,0,0,0
141,Mandeep Singh,0.0,0,0,0,0
142,Colin de Grandhomme,0.0,0,0,0,0
143,Lasith Malinga,0.0,0,0,0,0
144,Sandeep Lamichhane,0.0,0,0,0,0
145,Prayas Ray Barman,0.0,0,0,0,0
146,Hanuma Vihari,0.0,0,0,0,0
147,Stuart Binny,0.0,0,0,0,0
148,Jason Behrendorff,0.0,0,0,0,0
149,Pawan Negi,0.0,0,0,0,0
150,Scott Kuggeleijn,0.0,0,0,0,0
151,Yusuf Pathan,0.0,0,0,0,0
152,Alzarri Joseph,0.0,0,0,0,0
153,Harry Gurney,0.0,0,0,0,0
154,Sudhesan Midhun,0.0,0,0,0,0
155,Carlos Brathwaite,0.0,0,0,0,0
156,Liam Livingstone,0.0,0,0,0,0
157,Sarfaraz Khan,0.0,0,0,0,0
158,Ish Sodhi,0.0,0,0,0,0
159,Sherfane Rutherford,0.0,0,0,0,0
160,Prithvi Raj,0.0,0,0,0,0
161,KC Cariappa,0.0,0,0,0,0
162,Oshane Thomas,0.0,0,0,0,0
163,Anukul Roy,0.0,0,0,0,0
164,Barinder Sran,0.0,0,0,0,0
165,Kulwant Khejroliya,0.0,0,0,0,0
166,Shane Watson,0.0,0,0,0,0
167,Mark Wood,0.0,0,0,0,0
168,Daniel Christian,0.0,0,0,0,0
169,Vinay Kumar,0.0,0,0,0,0
170,Mitchell Johnson,0.0,0,0,0,0
171,Billy Stanlake,0.0,0,0,0,0
172,Ben Laughlin,0.0,0,0,0,0
173,D'Arcy Short,0.0,0,0,0,0
174,Pradeep Sangwan,0.0,0,0,0,0
175,Akila Dananjaya,0.0,0,0,0,0
176,Yuvraj Singh,0.0,0,0,0,0
177,Corey Anderson,0.0,0,0,0,0
178,Liam Plunkett,0.0,0,0,0,0
179,Manoj Tiwary,0.0,0,0,0,0
180,Jean-Paul Duminy,0.0,0,0,0,0
181,David Willey,0.0,0,0,0,0
182,Anureet Singh,0.0,0,0,0,0
183,Ankit Sharma,0.0,0,0,0,0
184,Javon Searles,0.0,0,0,0,0
185,Junior Dala,0.0,0,0,0,0
186,Tymal Mills,0.0,0,0,0,0
187,Aniket Choudhary,0.0,0,0,0,0
188,Sreenath Aravind,0.0,0,0,0,0
189,Travis Head,0.0,0,0,0,0
190,Ashish Nehra,0.0,0,0,0,0
191,Bipul Sharma,0.0,0,0,0,0
192,Ashok Dinda,0.0,0,0,0,0
193,Rajat Bhatia,0.0,0,0,0,0
194,Praveen Kumar,0.0,0,0,0,0
195,Manpreet Gony,0.0,0,0,0,0
196,Shivil Kaushik,0.0,0,0,0,0
197,Dwayne Smith,0.0,0,0,0,0
198,Shadab Jakati,0.0,0,0,0,0
199,Swapnil Singh,0.0,0,0,0,0
200,Zaheer Khan,0.0,0,0,0,0
201,Iqbal Abdulla,0.0,0,0,0,0
202,Tejas Baroka,0.0,0,0,0,0
203,Samuel Badree,0.0,0,0,0,0
204,Munaf Patel,0.0,0,0,0,0
205,Angelo Mathews,0.0,0,0,0,0
206,James Faulkner,0.0,0,0,0,0
207,Shubham Agarwal,0.0,0,0,0,0
208,Nathu Singh,0.0,0,0,0,0
209,Rahul Tripathi,0.0,0,0,0,0
210,Ankit Soni,0.0,0,0,0,0
211,Irfan Pathan,0.0,0,0,0,0
212,Marlon Samuels,0.0,0,0,0,0
213,Matt Henry,0.0,0,0,0,0
